title,author,isbn,genre,year
Adachi to Shimamura,Hitoma Iruma,978-1975383275,Romance/Slice of Life,2013
Youjo Senki,Carlo Zen,978-0316512442,Military/Isekai,2013
Honzuki no Gekokujou,Miya Kazuki,978-1718356313,Isekai/Fantasy,2013
Dune,Frank Herbert,978-1-60774-124-4,Science Fiction,1965
Bakemonogatari,Nisio Isin,978-1942993889,Mystery/Paranormal,2006
